Rodada,Maior Aptid達o,Menor Aptid達o,Media Aptid達o,Desvios Padr達o
1,183.33134567110997,11.814520786507977,88.23999500352946,44.29297539477972
2,190.3385998811844,11.432636358555433,108.56582560454193,42.43261098510624
3,210.28761578193476,18.573798773175106,127.74524127262178,42.20875082118367
4,210.5103229946946,38.6896105432476,142.61359801570558,36.0520911925411
5,214.5815842870519,58.54605135534418,154.0018123063663,34.976597863568976
6,211.68457810978788,28.597466093426085,158.10228609857165,36.520962935607805
7,215.72430805357158,77.54594241871253,163.81119981116254,33.21541945182396
8,221.55518482961958,65.7762353658824,167.7304380427018,34.15419768432251
9,221.55518482961958,65.77791417018491,167.37850842231245,33.71881664974478
10,221.55518482961958,57.87764291673827,172.027648390951,33.893481246146926
11,221.2953827128054,73.84005995318311,176.61622948350472,32.46105594780595
12,221.621824727346,73.83959148140849,178.82563552125856,32.67030584682341
13,221.5440957240241,73.83959148140849,179.94008161608116,31.259455225062222
14,221.5444458786244,96.26880603163879,182.26005637325986,32.15676368458104
15,222.06000314362524,89.05877041388729,183.56643129799025,31.598900421354628
16,222.2063008738352,81.82975146891386,189.92870964903616,29.949623636068974
17,222.22182413198152,67.77580313034865,193.45301965852872,27.90976368869757
18,222.31442964699085,50.56426419806376,186.5784909923746,35.79188398961141
19,221.56111659420884,57.45263751458855,182.69499676874534,39.441418854317874
20,222.19265110634478,94.44699996394559,190.82810843236194,30.845705905501458
21,221.53790468412052,96.28317563328602,190.3633450571801,30.01447669611288
22,221.53790468412052,98.35849589202525,186.40877677609694,32.127013382402225
23,221.53790468412052,99.58816611206335,185.11978092965933,32.210677262935
24,221.542128364505,82.02140862535498,180.98065606351756,32.87427632109636
25,221.62624730913132,59.606839372338804,182.70997029026333,32.38404327642083
26,221.62803186542288,80.70726476278573,185.41121072992752,30.95560539571124
27,221.73273684344383,103.143601881184,188.5933635978611,26.22970660496934
28,221.9354684777578,103.15344693276003,185.5538462018041,29.61814360118517
29,222.32728076994994,47.2197046549399,184.21268674485117,33.86566798126647
30,222.32728076994994,82.36726739244136,185.63988184042512,31.684315717587687
31,222.28546342773686,81.00578225014104,189.51910970469999,29.70137997745906
32,221.53405199631771,81.00578225014104,187.9285267166188,28.60262201827716
33,222.29744177422953,80.50742143176616,187.5162750880895,33.90734502872525
34,222.29744177422953,85.01344814598852,192.37545056965206,30.204089167721794
35,222.34935960780768,70.25243690905386,190.62653046697807,34.141656721381494
36,222.34935960780768,85.48178003415939,193.49069471863123,29.468520730747404
37,222.34935960780768,100.47911963758632,194.51693396420706,29.530136629391585
38,221.73527679701073,87.54379488786074,192.09186591981413,31.942538562639086
39,222.235286907562,71.35543798360798,197.6659971672278,30.370272383338243
40,221.52625305640848,92.06092404795821,188.97845353354845,34.02943833501371
41,222.28032430203936,89.26549370583305,189.24249918273216,35.157737910324016
42,222.38711054483247,45.427809090288804,190.40079120529342,35.735653652905555
43,222.27859617805012,20.200524539706592,183.66908054122453,39.41694489174692
44,222.27859617805012,78.3457031862508,191.33434517940788,29.137002282781356
45,222.4245076447458,84.2600376409074,196.49436318151788,26.97257345431491
46,222.27961356318275,97.06679138381887,195.71425591194236,29.24771541446979
47,222.27950379824898,80.36748375192238,194.3666165112023,32.641232539420145
48,222.26302186019922,95.92955505662276,196.69153272373626,30.2724702800981
49,222.4082924981726,76.65930044465105,191.63053548241368,33.74187214857717
50,222.28842241653757,93.1486656178375,198.72452209573916,28.839962460515412
51,222.34520060357482,105.04355011487263,196.7867878604654,30.40598393654342
52,222.24009980105103,46.21361718517911,190.73669758200256,34.63143729349486
53,222.24009980105103,61.0486354569773,192.25044137382145,35.28855373914571
54,222.23680170910836,95.68148011630979,194.60869649583313,33.10136168698125
55,222.2388264823241,30.81363616485709,192.62001277371672,37.3296845434007
56,222.23301896970355,105.51682148588486,194.9049826028141,33.02644683171744
57,222.23349215993852,114.77640625224046,197.96437730756045,29.028319210835356
58,222.20071984061846,53.84971237157555,197.9628336431816,32.28777204269111
59,222.22255627731482,89.70889081888203,196.55881677155713,30.236651556455328
60,222.25946846137316,66.960247696173,198.6077065597473,29.018707334037074
61,222.40442615138414,117.88486663519674,199.0577392676007,27.686528700040597
62,221.66821966534997,95.53132301779621,193.0266853365277,30.35087025330369
63,222.40442615138414,122.10545982462587,200.08033207420388,23.357366132260104
64,221.66154919058903,100.44233778309142,199.8187533632448,23.747154509224448
65,221.78152121287792,112.00428495461878,197.84588892969353,23.889169576352376
66,222.39262182404127,112.01911543627548,198.06568385880516,25.379628919706338
67,222.39252705406932,111.68784968596256,199.74292890808192,23.32803780595459
68,221.70925437096835,98.94079521148811,197.28436181658316,27.01655936471655
69,222.2297106384332,82.55697899269524,189.79995600216614,33.32531645297185
70,221.76153157488875,99.40338383599048,190.5723671612411,30.615585906761268
71,221.3587446889394,89.9292582691824,191.37691990705858,29.171712575354327
72,222.32218465247564,96.09141743652415,191.78942556221764,29.24295923812186
73,222.2219853245931,85.50704530250032,188.36677072264112,34.08047132825615
74,222.27886746898986,72.4025724218811,189.36306295202476,36.64892481858913
75,222.35274366775047,70.99229166686582,193.90363654253605,34.748001315719534
76,222.35522482354804,34.28189210722599,199.0985185269367,29.148198730688392
77,222.33742068422197,87.20949904817078,198.75984907324812,28.694003626265605
78,222.3381277060138,103.20854428438773,203.13629190778542,24.00812797293598
79,222.36225700703602,121.97065396740332,201.45542107232723,25.34841691590996
80,222.36225700703602,79.2900736815748,191.7993109473221,32.46221965339285
81,221.78465353239653,61.949752973741255,198.0217765307516,29.971128119512187
82,221.78465353239653,43.16158844502578,193.31458283325983,36.02434557704974
83,221.87784624376044,101.240051887329,197.50075184723443,29.01577411913244
84,221.87784624376044,113.59587345597636,193.85839162083954,31.07019269688015
85,221.77250129905448,83.64266864450892,193.88668406692,32.94274721860789
86,221.8351543862993,113.62726459285216,194.40774435152994,32.073959241800075
87,222.31578299279516,100.91622888266056,194.63665748651002,33.14985473938874
88,221.3844915715071,74.11109246250716,192.80250735602823,37.22023137968601
89,221.9312432573344,84.55233457405281,195.9686328456955,34.80412262952984
90,221.5266969821238,84.5490742722433,198.26842936492557,32.44922783841911
91,221.74155903136528,38.51555579247988,195.81224839155146,37.466105789641944
92,222.3598451741267,84.54224626499922,203.07861154193898,28.433168438590467
93,222.05062150022673,55.38278227933996,199.5801154771405,30.142558238954077
94,222.26136544237542,107.64014270801587,201.26277800112229,29.511544808499924
95,222.09730441931185,120.61234911868826,201.11972172652932,27.388340885523256
96,222.27238808854992,120.59812505691923,197.76665873133177,28.326667638016414
97,222.26243762214796,103.56449911430236,200.09311598540702,27.413392048753355
98,222.21952947436955,88.46755194178992,199.59798460629017,30.290342284613274
99,222.08631977994912,86.67818186853658,195.14223126102468,35.149119777823685
100,222.23439975469014,111.5427065334511,195.3733318623604,32.94036020676975
